date,value
2014-04-01,11.1458
2014-07-01,11.2952
2014-10-01,11.0411
2015-01-01,10.3913
2015-04-01,10.3881
2015-07-01,10.0153
2015-10-01,9.475
2016-01-01,9.7479
2016-04-01,9.9693
2016-07-01,9.8321
2016-10-01,10.0938
2017-01-01,10.6103
2017-04-01,10.3909
2017-07-01,10.4684
2017-10-01,9.3069
2018-01-01,9.7744
2018-04-01,10.0252
2018-07-01,9.6849
2018-10-01,9.6375
2019-01-01,9.6873
2019-04-01,9.6238
2019-07-01,9.6136
2019-10-01,9.6699
2020-01-01,9.2112
2020-04-01,9.311
2020-07-01,11.7774
2020-10-01,10.9991
2021-01-01,11.8312
2021-04-01,12.7402
2021-07-01,12.395
2021-10-01,11.8935
2022-01-01,11.5904
2022-04-01,12.2062
2022-07-01,11.5884
2022-10-01,10.8023
2023-01-01,11.565
2023-04-01,11.5356
2023-07-01,11.7226
2023-10-01,11.8011
2024-01-01,11.8193
2024-04-01,11.9008
2024-07-01,11.6699
2024-10-01,12.3703
2025-01-01,11.1037
2025-04-01,11.0081
2025-07-01,11.5485
2025-10-01,12.0684
2026-01-01,12.3979
2026-04-01,13.2483
